department_store,Canadian Tire,Dundas Street West,
department_store,Winners,Yonge Street,
convenience,7-Eleven,Bloor Street West,
convenience,My 151 Convenience,Barton Avenue,
convenience,Stop 'N Shop,Bloor Street West,
clothes,Siberia Vintage,Bloor Street West,
cannabis,Tokyo Smoke,Bloor Street West,
convenience,Bloor Mini Mart,Bloor Street West,
stationery,Bloorcourt Stationary & Digital Photo Printing,Bloor Street West,
beauty,Aakriti,Bloor Street West,
vacant,Main Drug Mart,Bloor Street West,
convenience,77 Food Market,Hallam Street,
bakery,Progress Bakery,Dovercourt Road,
convenience,John's Variety,Dovercourt Road,
convenience,7-Eleven,College Street,
computer,Fortune Computers,College Street,
supermarket,Galleria The Kitchen Express,Bloor Street West,
supermarket,Farm Boy,St. Clair Avenue East,
vacant,JLL Retail for Lease,Rosehill Avenue,
convenience,Winona Market,Winona Drive,
cannabis,Spiritleaf,College Street,
cannabis,Cush,Queen Street West,
furniture,Ethan Allen,Yonge Street,
convenience,White Corner Variety,Roncesvalles Avenue,
convenience,3 Jit Variety,Bloor Street West,
bicycle,Bikes on Wheels,Augusta Avenue,
bicycle,Curbside Cycle,Bloor Street West,
convenience,Green Field,Roncesvalles Avenue,
books,University of Toronto Bookstore,College Street,
vacant,Esso,Church Street,
cannabis,One Plant,Augusta Avenue,
electronics,Radioworld,Steeles Avenue West,
convenience,Old's Cool General Store,Westlake Avenue,
doityourself,Lowe's,Danforth Avenue,
supermarket,FreshCo,Gerrard Street East,
stationery,Gotamago,Woodbine Avenue,
supermarket,Fine Food Market,Bay Street,
supermarket,Farm Boy,Queens Quay West,
supermarket,Rabba,Queens Quay West,
supermarket,Bruno’s Fine Foods,Queen Street East,
supermarket,No Frills,Eglinton Avenue East,
convenience,7-Eleven,Bay Street,
cannabis,Hemisphere Cannabis,Front Street East,
supermarket,Metro,Front Street East,
convenience,Vic's Milk,Chisholm Avenue,
convenience,B & D Variety Store,Doncaster Avenue,
convenience,Dawes & Secord Convenience,Dawes Road,
convenience,Plymouth Variety,St Clair Avenue East,
video,New Stars Video,Woodbine Avenue,
